age,src,dst,rate
70+,E,E,0.573
70+,E,A,0.427
70+,A,A,0.803
70+,A,I,0.0197
70+,A,R,0.1773
70+,I,I,0.67
70+,I,D,0.0165
70+,I,H,0.0495
70+,I,R,0.264
70+,H,H,0.9
70+,H,D,0.042
70+,H,R,0.058
70+,R,R,1.0
70+,D,D,1.0
"[17,70)",E,E,0.573
"[17,70)",E,A,0.427
"[17,70)",A,A,0.803
"[17,70)",A,I,0.0197
"[17,70)",A,R,0.1773
"[17,70)",I,I,0.67
"[17,70)",I,D,0.0165
"[17,70)",I,H,0.0495
"[17,70)",I,R,0.264
"[17,70)",H,H,0.9
"[17,70)",H,D,0.042
"[17,70)",H,R,0.058
"[17,70)",R,R,1.0
"[17,70)",D,D,1.0
"[0,17)",E,E,0.573
"[0,17)",E,A,0.427
"[0,17)",A,A,0.803
"[0,17)",A,I,0.0197
"[0,17)",A,R,0.1773
"[0,17)",I,I,0.67
"[0,17)",I,D,0.0165
"[0,17)",I,H,0.0495
"[0,17)",I,R,0.264
"[0,17)",H,H,0.9
"[0,17)",H,D,0.042
"[0,17)",H,R,0.058
"[0,17)",R,R,1.0
"[0,17)",D,D,1.0
