age,src,dst,rate
o,E,E,0.573
o,E,A,0.427
o,A,A,0.803
o,A,I,0.0197
o,A,R,0.1773
o,I,I,0.67
o,I,D,0.0165
o,I,H,0.0495
o,I,R,0.264
o,H,H,0.9
o,H,D,0.042
o,H,R,0.058
o,R,R,1.0
o,D,D,1.0
m,E,E,0.573
m,E,A,0.427
m,A,A,0.803
m,A,I,0.0197
m,A,R,0.1773
m,I,I,0.67
m,I,D,0.0165
m,I,H,0.0495
m,I,R,0.264
m,H,H,0.9
m,H,D,0.042
m,H,R,0.058
m,R,R,1.0
m,D,D,1.0
y,E,E,0.573
y,E,A,0.427
y,A,A,0.803
y,A,I,0.0197
y,A,R,0.1773
y,I,I,0.67
y,I,D,0.0165
y,I,H,0.0495
y,I,R,0.264
y,H,H,0.9
y,H,D,0.042
y,H,R,0.058
y,R,R,1.0
y,D,D,1.0
