source,target,mixing
"[0,5)","[0,5)",0.525697998
"[0,5)","[5,18)",0.402583748
"[0,5)","[18,30)",0.368722035
"[0,5)","[30,40)",0.538440709
"[0,5)","[40,50)",0.194780472
"[0,5)","[50,60)",0.173757609
"[0,5)","[60,70)",0.098934288
"[0,5)",70+,0.047254293
"[5,18)","[0,5)",0.14245221
"[5,18)","[5,18)",2.430861989
"[5,18)","[18,30)",0.42609208
"[5,18)","[30,40)",0.514546595
"[5,18)","[40,50)",0.48340504
"[5,18)","[50,60)",0.188256272
"[5,18)","[60,70)",0.12084115
"[5,18)",70+,0.111607242
"[18,30)","[0,5)",0.137760561
"[18,30)","[5,18)",0.449900339
"[18,30)","[18,30)",1.194867894
"[18,30)","[30,40)",0.483464468
"[18,30)","[40,50)",0.480124784
"[18,30)","[50,60)",0.346225317
"[18,30)","[60,70)",0.184960293
"[18,30)",70+,0.121814092
"[30,40)","[0,5)",0.209770231
"[30,40)","[5,18)",0.566523235
"[30,40)","[18,30)",0.504132528
"[30,40)","[30,40)",0.757773889
"[30,40)","[40,50)",0.52903225
"[30,40)","[50,60)",0.346035983
"[30,40)","[60,70)",0.239739093
"[30,40)",70+,0.08818435
"[40,50)","[0,5)",0.077825866
"[40,50)","[5,18)",0.545854342
"[40,50)","[18,30)",0.51346029
"[40,50)","[30,40)",0.542568686
"[40,50)","[40,50)",0.795064526
"[40,50)","[50,60)",0.362278814
"[40,50)","[60,70)",0.233184095
"[40,50)",70+,0.237601009
"[50,60)","[0,5)",0.079827148
"[50,60)","[5,18)",0.244423681
"[50,60)","[18,30)",0.425735426
"[50,60)","[30,40)",0.408058164
"[50,60)","[40,50)",0.416553864
"[50,60)","[50,60)",0.509931872
"[50,60)","[60,70)",0.264286413
"[50,60)",70+,0.204649283
"[60,70)","[0,5)",0.058580903
"[60,70)","[5,18)",0.202213955
"[60,70)","[18,30)",0.293131116
"[60,70)","[30,40)",0.364369583
"[60,70)","[40,50)",0.345564886
"[60,70)","[50,60)",0.340625601
"[60,70)","[60,70)",0.321611885
"[60,70)",70+,0.271976601
70+,"[0,5)",0.023550101
70+,"[5,18)",0.157192176
70+,"[18,30)",0.162488722
70+,"[30,40)",0.11280726
70+,"[40,50)",0.296361125
70+,"[50,60)",0.22200101
70+,"[60,70)",0.228914771
70+,70+,0.369024457
