Week beginning,S08000015,S08000016,S08000017,S08000029,S08000019,S08000020,S08000031,S08000022,S08000032,S08000024,S08000025,S08000026,S08000030,S08000028
30-Dec-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jan-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Feb-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Mar-20,1,0,0,2,0,2,3,1,0,2,0,0,0,0
23-Mar-20,9,3,0,4,7,3,13,5,8,7,0,0,3,0
30-Mar-20,17,13,12,9,20,6,107,11,40,32,0,1,14,0
6-Apr-20,40,15,9,31,32,35,193,13,90,108,2,4,37,0
13-Apr-20,51,7,10,39,31,43,197,21,90,109,0,1,51,0
20-Apr-20,39,3,3,33,34,40,231,22,83,114,0,0,59,0
27-Apr-20,35,4,6,25,32,30,171,16,74,99,0,1,34,0
4-May-20,28,3,6,19,31,28,126,9,51,81,0,0,33,0
11-May-20,21,6,1,15,17,27,118,6,46,54,0,0,25,0
18-May-20,21,4,0,4,12,17,75,4,30,44,0,0,19,0
25-May-20,14,4,0,8,3,9,30,4,22,24,0,0,13,0
1-Jun-20,6,6,0,3,4,5,21,2,18,15,0,0,9,0
8-Jun-20,6,3,0,3,6,6,17,0,8,11,0,0,9,0
15-Jun-20,4,1,0,2,4,4,15,0,8,9,0,0,2,0
22-Jun-20,1,0,0,3,3,3,8,0,11,4,0,0,2,0
29-Jun-20,0,1,0,0,1,0,3,0,2,7,0,0,3,0
