Date,Movement_Multiplier,Contact_Multiplier
2020-03-16,0.93502587,4
2020-03-17,0.93502587,4
2020-03-18,0.850810185,4
2020-03-19,0.79974537,4
2020-03-20,0.793796295,4
2020-03-21,0.752708335,4
2020-03-22,0.668673745,4
2020-03-23,0.663281045,4
2020-03-24,0.57486111,1
2020-03-25,0.38074074,1
2020-03-26,0.333703704999999,1
2020-03-27,0.317962965,1
2020-03-28,0.303333335,1
2020-03-29,0.307693355,1
2020-03-30,0.33696732,1
2020-03-31,0.31777778,1
2020-04-01,0.31574074,1
2020-04-02,0.307037035,1
2020-04-03,0.294814815,0.25
2020-04-04,0.299814815,0.25
2020-04-05,0.324473039999999,0.25
2020-04-06,0.356705879999999,0.25
2020-04-07,0.31784722,0.25
2020-04-08,0.331244555,0.25
2020-04-09,0.32261574,0.25
2020-04-10,0.32310185,0.25
2020-04-11,0.301157404999999,0.25
2020-04-12,0.34519608,0.25
2020-04-13,0.35720448,0.25
2020-04-14,0.27493464,0.25
2020-04-15,0.33194172,0.25
2020-04-16,0.33439951,0.25
2020-04-17,0.32787037,0.25
2020-04-18,0.32659722,0.25
2020-04-19,0.367781865,0.25
2020-04-20,0.40302988,0.25
2020-04-21,0.3607244,0.25
2020-04-22,0.35541803,0.25
2020-04-23,0.355438455,0.25
2020-04-24,0.362824075,0.25
2020-04-25,0.355324075,0.25
2020-04-26,0.38783088,0.25
2020-04-27,0.41426237,0.25
