Health_Board,Sex,Age,Total
S08000015,Female,"[0,17)",31950
S08000015,Female,"[17,70)",127574
S08000015,Female,70+,32930
S08000015,Male,"[0,17)",33357
S08000015,Male,"[17,70)",118106
S08000015,Male,70+,25753
S08000016,Female,"[0,17)",9957
S08000016,Female,"[17,70)",38363
S08000016,Female,70+,10961
S08000016,Male,"[0,17)",10280
S08000016,Male,"[17,70)",36645
S08000016,Male,70+,9064
S08000017,Female,"[0,17)",12176
S08000017,Female,"[17,70)",49559
S08000017,Female,70+,14734
S08000017,Male,"[0,17)",12666
S08000017,Male,"[17,70)",47340
S08000017,Male,70+,12315
S08000019,Female,"[0,17)",27102
S08000019,Female,"[17,70)",106902
S08000019,Female,70+,22899
S08000019,Male,"[0,17)",28771
S08000019,Male,"[17,70)",102319
S08000019,Male,70+,18077
S08000020,Female,"[0,17)",51441
S08000020,Female,"[17,70)",201015
S08000020,Female,70+,41366
S08000020,Male,"[0,17)",54166
S08000020,Male,"[17,70)",203795
S08000020,Male,70+,32767
S08000022,Female,"[0,17)",27187
S08000022,Female,"[17,70)",107483
S08000022,Female,70+,28823
S08000022,Male,"[0,17)",28524
S08000022,Male,"[17,70)",106525
S08000022,Male,70+,23258
S08000024,Female,"[0,17)",77589
S08000024,Female,"[17,70)",324258
S08000024,Female,70+,58984
S08000024,Male,"[0,17)",81649
S08000024,Male,"[17,70)",310991
S08000024,Male,70+,44299
S08000025,Female,"[0,17)",1847
S08000025,Female,"[17,70)",7315
S08000025,Female,70+,1989
S08000025,Male,"[0,17)",1926
S08000025,Male,"[17,70)",7392
S08000025,Male,70+,1721
S08000026,Female,"[0,17)",2112
S08000026,Female,"[17,70)",7493
S08000026,Female,70+,1672
S08000026,Male,"[0,17)",2336
S08000026,Male,"[17,70)",7881
S08000026,Male,70+,1496
S08000028,Female,"[0,17)",2204
S08000028,Female,"[17,70)",8636
S08000028,Female,70+,2743
S08000028,Male,"[0,17)",2382
S08000028,Male,"[17,70)",8731
S08000028,Male,70+,2134
S08000029,Female,"[0,17)",33155
S08000029,Female,"[17,70)",128255
S08000029,Female,70+,29880
S08000029,Male,"[0,17)",34995
S08000029,Male,"[17,70)",121878
S08000029,Male,70+,23747
S08000030,Female,"[0,17)",35016
S08000030,Female,"[17,70)",142530
S08000030,Female,70+,35848
S08000030,Male,"[0,17)",36806
S08000030,Male,"[17,70)",138017
S08000030,Male,70+,27863
S08000031,Female,"[0,17)",101619
S08000031,Female,"[17,70)",423135
S08000031,Female,70+,80469
S08000031,Male,"[0,17)",106472
S08000031,Male,"[17,70)",406439
S08000031,Male,70+,56846
S08000032,Female,"[0,17)",61191
S08000032,Female,"[17,70)",231416
S08000032,Female,70+,47571
S08000032,Male,"[0,17)",64096
S08000032,Male,"[17,70)",219434
S08000032,Male,70+,35492
