Location,Sex,Age,Total
S02000401,Female,"[0,17)",315
S02000401,Male,"[0,17)",292
S02000401,Female,"[17,70)",2995
S02000401,Male,"[17,70)",2765
S02000401,Female,"70+",438
S02000401,Male,"70+",406
S02000095,Female,"[0,17)",351
S02000095,Male,"[0,17)",324
S02000095,Female,"[17,70)",1192
S02000095,Male,"[17,70)",1101
S02000095,Female,"70+",484
S02000095,Male,"70+",447
S02000508,Female,"[0,17)",264
S02000508,Male,"[0,17)",245
S02000508,Female,"[17,70)",953
S02000508,Male,"[17,70)",881
S02000508,Female,"70+",380
S02000508,Male,"70+",352
S02000956,Female,"[0,17)",372
S02000956,Male,"[0,17)",345
S02000956,Female,"[17,70)",1349
S02000956,Male,"[17,70)",1247
S02000956,Female,"70+",427
S02000956,Male,"70+",395
S02000054,Female,"[0,17)",504
S02000054,Male,"[0,17)",466
S02000054,Female,"[17,70)",1622
S02000054,Male,"[17,70)",1498
S02000054,Female,"70+",612
S02000054,Male,"70+",566
S02000937,Female,"[0,17)",359
S02000937,Male,"[0,17)",332
S02000937,Female,"[17,70)",1348
S02000937,Male,"[17,70)",1245
S02000937,Female,"70+",282
S02000937,Male,"70+",262
S02000932,Female,"[0,17)",436
S02000932,Male,"[0,17)",403
S02000932,Female,"[17,70)",1441
S02000932,Male,"[17,70)",1332
S02000932,Female,"70+",382
S02000932,Male,"70+",354
S02000918,Female,"[0,17)",583
S02000918,Male,"[0,17)",540
S02000918,Female,"[17,70)",2003
S02000918,Male,"[17,70)",1850
S02000918,Female,"70+",502
S02000918,Male,"70+",464
S02000884,Female,"[0,17)",276
S02000884,Male,"[0,17)",256
S02000884,Female,"[17,70)",1332
S02000884,Male,"[17,70)",1231
S02000884,Female,"70+",271
S02000884,Male,"70+",252
S02000157,Female,"[0,17)",319
S02000157,Male,"[0,17)",295
S02000157,Female,"[17,70)",1138
S02000157,Male,"[17,70)",1051
S02000157,Female,"70+",312
S02000157,Male,"70+",288
S02000153,Female,"[0,17)",466
S02000153,Male,"[0,17)",432
S02000153,Female,"[17,70)",1628
S02000153,Male,"[17,70)",1503
S02000153,Female,"70+",351
S02000153,Male,"70+",324
S02000154,Female,"[0,17)",412
S02000154,Male,"[0,17)",382
S02000154,Female,"[17,70)",1696
S02000154,Male,"[17,70)",1567
S02000154,Female,"70+",491
S02000154,Male,"70+",454
S02001062,Female,"[0,17)",438
S02001062,Male,"[0,17)",405
S02001062,Female,"[17,70)",1631
S02001062,Male,"[17,70)",1506
S02001062,Female,"70+",1075
S02001062,Male,"70+",993
S02000755,Female,"[0,17)",616
S02000755,Male,"[0,17)",569
S02000755,Female,"[17,70)",1854
S02000755,Male,"[17,70)",1713
S02000755,Female,"70+",551
S02000755,Male,"70+",509
S02000254,Female,"[0,17)",439
S02000254,Male,"[0,17)",407
S02000254,Female,"[17,70)",1355
S02000254,Male,"[17,70)",1252
S02000254,Female,"70+",319
S02000254,Male,"70+",295
S02000252,Female,"[0,17)",440
S02000252,Male,"[0,17)",408
S02000252,Female,"[17,70)",1431
S02000252,Male,"[17,70)",1322
S02000252,Female,"70+",274
S02000252,Male,"70+",253
S02000162,Female,"[0,17)",367
S02000162,Male,"[0,17)",339
S02000162,Female,"[17,70)",1542
S02000162,Male,"[17,70)",1424
S02000162,Female,"70+",521
S02000162,Male,"70+",481
S02000979,Female,"[0,17)",235
S02000979,Male,"[0,17)",217
S02000979,Female,"[17,70)",863
S02000979,Male,"[17,70)",797
S02000979,Female,"70+",400
S02000979,Male,"70+",370
S02000651,Female,"[0,17)",257
