Health_Board,Sex,Age,Total
S08000015,Female,"y",31950
S08000015,Female,"m",127574
S08000015,Female,o,32930
S08000015,Male,"y",33357
S08000015,Male,"m",118106
S08000015,Male,o,25753
S08000016,Female,"y",9957
S08000016,Female,"m",38363
S08000016,Female,o,10961
S08000016,Male,"y",10280
S08000016,Male,"m",36645
S08000016,Male,o,9064
S08000017,Female,"y",12176
S08000017,Female,"m",49559
S08000017,Female,o,14734
S08000017,Male,"y",12666
S08000017,Male,"m",47340
S08000017,Male,o,12315
S08000019,Female,"y",27102
S08000019,Female,"m",106902
S08000019,Female,o,22899
S08000019,Male,"y",28771
S08000019,Male,"m",102319
S08000019,Male,o,18077
S08000020,Female,"y",51441
S08000020,Female,"m",201015
S08000020,Female,o,41366
S08000020,Male,"y",54166
S08000020,Male,"m",203795
S08000020,Male,o,32767
S08000022,Female,"y",27187
S08000022,Female,"m",107483
S08000022,Female,o,28823
S08000022,Male,"y",28524
S08000022,Male,"m",106525
S08000022,Male,o,23258
S08000024,Female,"y",77589
S08000024,Female,"m",324258
S08000024,Female,o,58984
S08000024,Male,"y",81649
S08000024,Male,"m",310991
S08000024,Male,o,44299
S08000025,Female,"y",1847
S08000025,Female,"m",7315
S08000025,Female,o,1989
S08000025,Male,"y",1926
S08000025,Male,"m",7392
S08000025,Male,o,1721
S08000026,Female,"y",2112
S08000026,Female,"m",7493
S08000026,Female,o,1672
S08000026,Male,"y",2336
S08000026,Male,"m",7881
S08000026,Male,o,1496
S08000028,Female,"y",2204
S08000028,Female,"m",8636
S08000028,Female,o,2743
S08000028,Male,"y",2382
S08000028,Male,"m",8731
S08000028,Male,o,2134
S08000029,Female,"y",33155
S08000029,Female,"m",128255
S08000029,Female,o,29880
S08000029,Male,"y",34995
S08000029,Male,"m",121878
S08000029,Male,o,23747
S08000030,Female,"y",35016
S08000030,Female,"m",142530
S08000030,Female,o,35848
S08000030,Male,"y",36806
S08000030,Male,"m",138017
S08000030,Male,o,27863
S08000031,Female,"y",101619
S08000031,Female,"m",423135
S08000031,Female,o,80469
S08000031,Male,"y",106472
S08000031,Male,"m",406439
S08000031,Male,o,56846
S08000032,Female,"y",61191
S08000032,Female,"m",231416
S08000032,Female,o,47571
S08000032,Male,"y",64096
S08000032,Male,"m",219434
S08000032,Male,o,35492
