time,healthboard,age,state,total
0,S08000015,70+,S,58683.0
0,S08000015,70+,E,0.0
0,S08000015,70+,A,0.0
0,S08000015,70+,I,0.0
0,S08000015,70+,H,0.0
0,S08000015,70+,R,0.0
0,S08000015,70+,D,0.0
0,S08000015,"[17,70)",S,245676.0
0,S08000015,"[17,70)",E,4.0
0,S08000015,"[17,70)",A,0.0
0,S08000015,"[17,70)",I,0.0
0,S08000015,"[17,70)",H,0.0
0,S08000015,"[17,70)",R,0.0
0,S08000015,"[17,70)",D,0.0
0,S08000015,"[0,17)",S,65307.0
0,S08000015,"[0,17)",E,0.0
0,S08000015,"[0,17)",A,0.0
0,S08000015,"[0,17)",I,0.0
0,S08000015,"[0,17)",H,0.0
0,S08000015,"[0,17)",R,0.0
0,S08000015,"[0,17)",D,0.0
0,S08000016,70+,S,20025.0
0,S08000016,70+,E,0.0
0,S08000016,70+,A,0.0
0,S08000016,70+,I,0.0
0,S08000016,70+,H,0.0
0,S08000016,70+,R,0.0
0,S08000016,70+,D,0.0
0,S08000016,"[17,70)",S,74999.0
0,S08000016,"[17,70)",E,9.0
0,S08000016,"[17,70)",A,0.0
0,S08000016,"[17,70)",I,0.0
0,S08000016,"[17,70)",H,0.0
0,S08000016,"[17,70)",R,0.0
0,S08000016,"[17,70)",D,0.0
0,S08000016,"[0,17)",S,20237.0
0,S08000016,"[0,17)",E,0.0
0,S08000016,"[0,17)",A,0.0
0,S08000016,"[0,17)",I,0.0
0,S08000016,"[0,17)",H,0.0
0,S08000016,"[0,17)",R,0.0
0,S08000016,"[0,17)",D,0.0
0,S08000017,70+,S,27049.0
0,S08000017,70+,E,0.0
0,S08000017,70+,A,0.0
0,S08000017,70+,I,0.0
0,S08000017,70+,H,0.0
0,S08000017,70+,R,0.0
0,S08000017,70+,D,0.0
0,S08000017,"[17,70)",S,96892.0
0,S08000017,"[17,70)",E,7.0
0,S08000017,"[17,70)",A,0.0
0,S08000017,"[17,70)",I,0.0
0,S08000017,"[17,70)",H,0.0
0,S08000017,"[17,70)",R,0.0
0,S08000017,"[17,70)",D,0.0
0,S08000017,"[0,17)",S,24842.0
0,S08000017,"[0,17)",E,0.0
0,S08000017,"[0,17)",A,0.0
0,S08000017,"[0,17)",I,0.0
0,S08000017,"[0,17)",H,0.0
0,S08000017,"[0,17)",R,0.0
0,S08000017,"[0,17)",D,0.0
0,S08000019,70+,S,40976.0
0,S08000019,70+,E,0.0
0,S08000019,70+,A,0.0
0,S08000019,70+,I,0.0
0,S08000019,70+,H,0.0
0,S08000019,70+,R,0.0
0,S08000019,70+,D,0.0
0,S08000019,"[17,70)",S,209215.0
0,S08000019,"[17,70)",E,6.0
0,S08000019,"[17,70)",A,0.0
0,S08000019,"[17,70)",I,0.0
0,S08000019,"[17,70)",H,0.0
0,S08000019,"[17,70)",R,0.0
0,S08000019,"[17,70)",D,0.0
0,S08000019,"[0,17)",S,55873.0
0,S08000019,"[0,17)",E,0.0
0,S08000019,"[0,17)",A,0.0
0,S08000019,"[0,17)",I,0.0
0,S08000019,"[0,17)",H,0.0
0,S08000019,"[0,17)",R,0.0
0,S08000019,"[0,17)",D,0.0
0,S08000020,70+,S,74133.0
0,S08000020,70+,E,0.0
0,S08000020,70+,A,0.0
0,S08000020,70+,I,0.0
0,S08000020,70+,H,0.0
0,S08000020,70+,R,0.0
0,S08000020,70+,D,0.0
0,S08000020,"[17,70)",S,404802.0
0,S08000020,"[17,70)",E,8.0
0,S08000020,"[17,70)",A,0.0
0,S08000020,"[17,70)",I,0.0
0,S08000020,"[17,70)",H,0.0
0,S08000020,"[17,70)",R,0.0
0,S08000020,"[17,70)",D,0.0
0,S08000020,"[0,17)",S,105607.0
0,S08000020,"[0,17)",E,0.0
0,S08000020,"[0,17)",A,0.0
0,S08000020,"[0,17)",I,0.0
0,S08000020,"[0,17)",H,0.0
0,S08000020,"[0,17)",R,0.0
0,S08000020,"[0,17)",D,0.0
0,S08000022,70+,S,52081.0
0,S08000022,70+,E,0.0
0,S08000022,70+,A,0.0
0,S08000022,70+,I,0.0
0,S08000022,70+,H,0.0
0,S08000022,70+,R,0.0
0,S08000022,70+,D,0.0
0,S08000022,"[17,70)",S,214001.0
0,S08000022,"[17,70)",E,7.0
0,S08000022,"[17,70)",A,0.0
0,S08000022,"[17,70)",I,0.0
0,S08000022,"[17,70)",H,0.0
0,S08000022,"[17,70)",R,0.0
0,S08000022,"[17,70)",D,0.0
0,S08000022,"[0,17)",S,55711.0
0,S08000022,"[0,17)",E,0.0
0,S08000022,"[0,17)",A,0.0
0,S08000022,"[0,17)",I,0.0
0,S08000022,"[0,17)",H,0.0
0,S08000022,"[0,17)",R,0.0
0,S08000022,"[0,17)",D,0.0
0,S08000024,70+,S,103283.0
0,S08000024,70+,E,0.0
0,S08000024,70+,A,0.0
0,S08000024,70+,I,0.0
0,S08000024,70+,H,0.0
0,S08000024,70+,R,0.0
0,S08000024,70+,D,0.0
0,S08000024,"[17,70)",S,635240.0
0,S08000024,"[17,70)",E,9.0
0,S08000024,"[17,70)",A,0.0
0,S08000024,"[17,70)",I,0.0
0,S08000024,"[17,70)",H,0.0
0,S08000024,"[17,70)",R,0.0
0,S08000024,"[17,70)",D,0.0
0,S08000024,"[0,17)",S,159238.0
0,S08000024,"[0,17)",E,0.0
0,S08000024,"[0,17)",A,0.0
0,S08000024,"[0,17)",I,0.0
0,S08000024,"[0,17)",H,0.0
0,S08000024,"[0,17)",R,0.0
0,S08000024,"[0,17)",D,0.0
0,S08000025,70+,S,3710.0
0,S08000025,70+,E,0.0
0,S08000025,70+,A,0.0
0,S08000025,70+,I,0.0
0,S08000025,70+,H,0.0
0,S08000025,70+,R,0.0
0,S08000025,70+,D,0.0
0,S08000025,"[17,70)",S,14702.0
0,S08000025,"[17,70)",E,5.0
0,S08000025,"[17,70)",A,0.0
0,S08000025,"[17,70)",I,0.0
0,S08000025,"[17,70)",H,0.0
0,S08000025,"[17,70)",R,0.0
0,S08000025,"[17,70)",D,0.0
0,S08000025,"[0,17)",S,3773.0
0,S08000025,"[0,17)",E,0.0
0,S08000025,"[0,17)",A,0.0
0,S08000025,"[0,17)",I,0.0
0,S08000025,"[0,17)",H,0.0
0,S08000025,"[0,17)",R,0.0
0,S08000025,"[0,17)",D,0.0
0,S08000026,70+,S,3168.0
0,S08000026,70+,E,0.0
0,S08000026,70+,A,0.0
0,S08000026,70+,I,0.0
0,S08000026,70+,H,0.0
0,S08000026,70+,R,0.0
0,S08000026,70+,D,0.0
0,S08000026,"[17,70)",S,15369.0
0,S08000026,"[17,70)",E,5.0
0,S08000026,"[17,70)",A,0.0
0,S08000026,"[17,70)",I,0.0
0,S08000026,"[17,70)",H,0.0
0,S08000026,"[17,70)",R,0.0
0,S08000026,"[17,70)",D,0.0
0,S08000026,"[0,17)",S,4448.0
0,S08000026,"[0,17)",E,0.0
0,S08000026,"[0,17)",A,0.0
0,S08000026,"[0,17)",I,0.0
0,S08000026,"[0,17)",H,0.0
0,S08000026,"[0,17)",R,0.0
0,S08000026,"[0,17)",D,0.0
0,S08000028,70+,S,4877.0
0,S08000028,70+,E,0.0
0,S08000028,70+,A,0.0
0,S08000028,70+,I,0.0
0,S08000028,70+,H,0.0
0,S08000028,70+,R,0.0
0,S08000028,70+,D,0.0
0,S08000028,"[17,70)",S,17359.0
0,S08000028,"[17,70)",E,8.0
0,S08000028,"[17,70)",A,0.0
0,S08000028,"[17,70)",I,0.0
0,S08000028,"[17,70)",H,0.0
0,S08000028,"[17,70)",R,0.0
0,S08000028,"[17,70)",D,0.0
0,S08000028,"[0,17)",S,4586.0
0,S08000028,"[0,17)",E,0.0
0,S08000028,"[0,17)",A,0.0
0,S08000028,"[0,17)",I,0.0
0,S08000028,"[0,17)",H,0.0
0,S08000028,"[0,17)",R,0.0
0,S08000028,"[0,17)",D,0.0
0,S08000029,70+,S,53627.0
0,S08000029,70+,E,0.0
0,S08000029,70+,A,0.0
0,S08000029,70+,I,0.0
0,S08000029,70+,H,0.0
0,S08000029,70+,R,0.0
0,S08000029,70+,D,0.0
0,S08000029,"[17,70)",S,250121.0
0,S08000029,"[17,70)",E,12.0
0,S08000029,"[17,70)",A,0.0
0,S08000029,"[17,70)",I,0.0
0,S08000029,"[17,70)",H,0.0
0,S08000029,"[17,70)",R,0.0
0,S08000029,"[17,70)",D,0.0
0,S08000029,"[0,17)",S,68150.0
0,S08000029,"[0,17)",E,0.0
0,S08000029,"[0,17)",A,0.0
0,S08000029,"[0,17)",I,0.0
0,S08000029,"[0,17)",H,0.0
0,S08000029,"[0,17)",R,0.0
0,S08000029,"[0,17)",D,0.0
0,S08000030,70+,S,63711.0
0,S08000030,70+,E,0.0
0,S08000030,70+,A,0.0
0,S08000030,70+,I,0.0
0,S08000030,70+,H,0.0
0,S08000030,70+,R,0.0
0,S08000030,70+,D,0.0
0,S08000030,"[17,70)",S,280543.0
0,S08000030,"[17,70)",E,4.0
0,S08000030,"[17,70)",A,0.0
0,S08000030,"[17,70)",I,0.0
0,S08000030,"[17,70)",H,0.0
0,S08000030,"[17,70)",R,0.0
0,S08000030,"[17,70)",D,0.0
0,S08000030,"[0,17)",S,71822.0
0,S08000030,"[0,17)",E,0.0
0,S08000030,"[0,17)",A,0.0
0,S08000030,"[0,17)",I,0.0
0,S08000030,"[0,17)",H,0.0
0,S08000030,"[0,17)",R,0.0
0,S08000030,"[0,17)",D,0.0
0,S08000031,70+,S,137315.0
0,S08000031,70+,E,0.0
0,S08000031,70+,A,0.0
0,S08000031,70+,I,0.0
0,S08000031,70+,H,0.0
0,S08000031,70+,R,0.0
0,S08000031,70+,D,0.0
0,S08000031,"[17,70)",S,829563.0
0,S08000031,"[17,70)",E,11.0
0,S08000031,"[17,70)",A,0.0
0,S08000031,"[17,70)",I,0.0
0,S08000031,"[17,70)",H,0.0
0,S08000031,"[17,70)",R,0.0
0,S08000031,"[17,70)",D,0.0
0,S08000031,"[0,17)",S,208091.0
0,S08000031,"[0,17)",E,0.0
0,S08000031,"[0,17)",A,0.0
0,S08000031,"[0,17)",I,0.0
0,S08000031,"[0,17)",H,0.0
0,S08000031,"[0,17)",R,0.0
0,S08000031,"[0,17)",D,0.0
0,S08000032,70+,S,83063.0
0,S08000032,70+,E,0.0
0,S08000032,70+,A,0.0
0,S08000032,70+,I,0.0
0,S08000032,70+,H,0.0
0,S08000032,70+,R,0.0
0,S08000032,70+,D,0.0
0,S08000032,"[17,70)",S,450845.0
0,S08000032,"[17,70)",E,5.0
0,S08000032,"[17,70)",A,0.0
0,S08000032,"[17,70)",I,0.0
0,S08000032,"[17,70)",H,0.0
0,S08000032,"[17,70)",R,0.0
0,S08000032,"[17,70)",D,0.0
0,S08000032,"[0,17)",S,125287.0
0,S08000032,"[0,17)",E,0.0
0,S08000032,"[0,17)",A,0.0
0,S08000032,"[0,17)",I,0.0
0,S08000032,"[0,17)",H,0.0
0,S08000032,"[0,17)",R,0.0
0,S08000032,"[0,17)",D,0.0
1,S08000015,70+,S,58683.0
1,S08000015,70+,E,0.0
1,S08000015,70+,A,0.0
